품목명,수집일,외부 일사량,내부온도,내부습도,내부CO2,지습
딸기,2021/02/19 7:00,14,10,79,,27
딸기,2021/02/19 8:00,128,10,80,,27
딸기,2021/02/19 9:00,271,16,72,,27
딸기,2021/02/19 10:00,433,25,52,,27
딸기,2021/02/19 11:00,546,31,45,,28
딸기,2021/02/19 12:00,605,32,38,,29
딸기,2021/02/19 13:00,407,33,36,,29
딸기,2021/02/19 14:00,0,33,39,,28
딸기,2021/02/19 15:00,384,30,49,,28
딸기,2021/02/19 16:00,255,24,62,,29
딸기,2021/02/19 17:00,81,17,72,,29
딸기,2021/02/19 18:00,3,12,83,,28
딸기,2021/02/19 19:00,0,10,86,,28
딸기,2021/02/19 20:00,0,10,87,,28
딸기,2021/02/19 21:00,0,10,87,,28
딸기,2021/02/19 22:00,0,10,87,,28
딸기,2021/02/19 23:00,0,9,87,,28
딸기,2021/02/20 0:00,0,9,87,,28
딸기,2021/02/20 1:00,0,9,87,,28
딸기,2021/02/20 2:00,0,9,87,,27
딸기,2021/02/20 3:00,0,9,88,,27
딸기,2021/02/20 4:00,0,9,88,,27
딸기,2021/02/20 5:00,0,9,88,,27
딸기,2021/02/20 6:00,0,9,87,,27
딸기,2021/02/20 7:00,16,11,84,,27
딸기,2021/02/20 8:00,103,13,82,,27
딸기,2021/02/20 9:00,200,16,79,,27
딸기,2021/02/20 10:00,360,23,68,,27
딸기,2021/02/20 11:00,527,31,51,,28
딸기,2021/02/20 12:00,586,34,42,,28
딸기,2021/02/20 13:00,498,34,34,,29
딸기,2021/02/20 14:00,0,33,29,,29
딸기,2021/02/20 15:00,0,31,35,,29
딸기,2021/02/20 16:00,211,27,55,,29
딸기,2021/02/20 17:00,80,21,72,,28
딸기,2021/02/20 18:00,4,14,80,,28
딸기,2021/02/20 19:00,0,11,85,,28
딸기,2021/02/20 20:00,0,10,87,,27
딸기,2021/02/20 21:00,0,10,87,,27
딸기,2021/02/20 22:00,0,10,86,,27
딸기,2021/02/20 23:00,0,10,86,,27
딸기,2021/02/21 0:00,0,10,86,,27
딸기,2021/02/21 1:00,0,10,86,,27
딸기,2021/02/21 2:00,0,10,87,,27
딸기,2021/02/21 3:00,0,9,87,,27
딸기,2021/02/21 4:00,0,9,87,,27
딸기,2021/02/21 5:00,0,9,87,,26
딸기,2021/02/21 6:00,0,10,86,,26
딸기,2021/02/21 7:00,16,11,83,,26
딸기,2021/02/21 8:00,116,14,79,,30
딸기,2021/02/21 9:00,265,20,67,,30
딸기,2021/02/21 10:00,425,29,53,,29
딸기,2021/02/21 11:00,538,33,43,,30
딸기,2021/02/21 12:00,593,34,31,,30
딸기,2021/02/21 13:00,598,35,27,,31
딸기,2021/02/21 14:00,552,35,26,,31
딸기,2021/02/21 15:00,445,33,31,,31
딸기,2021/02/21 16:00,280,29,42,,31
딸기,2021/02/21 17:00,89,23,64,,30
딸기,2021/02/21 18:00,4,16,57,,30
딸기,2021/02/21 19:00,0,14,79,,30
딸기,2021/02/21 20:00,0,13,86,,30
딸기,2021/02/21 21:00,0,12,87,,29
딸기,2021/02/21 22:00,0,11,87,,29
딸기,2021/02/21 23:00,0,10,88,,29
딸기,2021/02/22 0:00,0,10,88,,29
딸기,2021/02/22 1:00,0,10,88,,28
딸기,2021/02/22 2:00,0,11,87,,29
딸기,2021/02/22 3:00,0,11,87,,28
딸기,2021/02/22 4:00,0,10,87,,28
딸기,2021/02/22 5:00,0,10,87,,28
딸기,2021/02/22 6:00,0,11,86,,28
딸기,2021/02/22 7:00,20,11,85,,28
딸기,2021/02/22 8:00,120,14,80,,29
딸기,2021/02/22 9:00,259,20,69,,30
딸기,2021/02/22 10:00,326,24,64,,30
딸기,2021/02/22 11:00,444,28,58,,30
딸기,2021/02/22 12:00,571,32,46,,30
딸기,2021/02/22 13:00,314,28,55,,31
딸기,2021/02/22 14:00,306,23,69,,30
딸기,2021/02/22 15:00,398,28,56,,30
딸기,2021/02/22 16:00,245,24,64,,31
딸기,2021/02/22 17:00,77,18,72,,30
딸기,2021/02/22 18:00,5,13,81,,30
딸기,2021/02/22 19:00,0,10,85,,30
딸기,2021/02/22 20:00,0,10,87,,30
딸기,2021/02/22 21:00,0,10,86,,29
딸기,2021/02/22 22:00,0,10,85,,29
딸기,2021/02/22 23:00,0,10,85,,29
딸기,2021/02/23 0:00,0,10,85,,29
딸기,2021/02/23 1:00,0,9,86,,29
딸기,2021/02/23 2:00,0,9,86,,29
딸기,2021/02/23 3:00,0,9,86,,29
딸기,2021/02/23 4:00,0,9,86,,29
딸기,2021/02/23 5:00,0,8,87,,28
딸기,2021/02/23 6:00,0,10,85,,28
딸기,2021/02/23 7:00,21,11,82,,29
딸기,2021/02/23 8:00,132,14,77,,28
딸기,2021/02/23 9:00,295,19,62,,28
딸기,2021/02/23 10:00,450,25,51,,29
딸기,2021/02/23 11:00,558,30,43,,29
딸기,2021/02/23 12:00,594,31,38,,30
딸기,2021/02/23 13:00,606,32,39,,30
딸기,2021/02/23 14:00,189,31,40,,30
딸기,2021/02/23 15:00,0,28,49,,31
딸기,2021/02/23 16:00,157,22,60,,31
딸기,2021/02/23 17:00,82,16,71,,31
딸기,2021/02/23 18:00,4,11,81,,31
딸기,2021/02/23 19:00,0,10,85,,30
딸기,2021/02/23 20:00,0,10,85,,30
딸기,2021/02/23 21:00,0,10,84,,30
딸기,2021/02/23 22:00,0,10,84,,29
딸기,2021/02/23 23:00,0,9,85,,30
딸기,2021/02/24 0:00,0,9,85,,29
딸기,2021/02/24 1:00,0,10,86,,29
딸기,2021/02/24 2:00,0,10,87,,29
딸기,2021/02/24 3:00,0,10,87,,29
딸기,2021/02/24 4:00,0,9,87,,29
딸기,2021/02/24 5:00,0,9,87,,29
딸기,2021/02/24 6:00,0,10,86,,29
딸기,2021/02/24 7:00,21,11,84,,29
딸기,2021/02/24 8:00,127,14,79,,28
딸기,2021/02/24 9:00,290,19,65,,29
딸기,2021/02/24 10:00,261,26,55,,29
딸기,2021/02/24 11:00,0,29,53,,30
딸기,2021/02/24 12:00,0,33,39,,30
딸기,2021/02/24 13:00,0,32,42,,30
딸기,2021/02/24 14:00,483,31,39,,30
딸기,2021/02/24 15:00,429,30,47,,30
딸기,2021/02/24 16:00,246,25,62,,31
딸기,2021/02/24 17:00,82,18,71,,31
딸기,2021/02/24 18:00,4,13,83,,30
딸기,2021/02/24 19:00,0,10,90,,30
딸기,2021/02/24 20:00,0,10,92,,30
딸기,2021/02/24 21:00,0,10,92,,29
딸기,2021/02/24 22:00,0,10,90,,29
딸기,2021/02/24 23:00,0,10,89,,29
딸기,2021/02/25 0:00,0,9,89,,29
딸기,2021/02/25 1:00,0,9,88,,29
딸기,2021/02/25 2:00,0,9,88,,28
딸기,2021/02/25 3:00,0,9,88,,28
딸기,2021/02/25 4:00,0,9,88,,28
딸기,2021/02/25 5:00,0,9,89,,28
딸기,2021/02/25 6:00,0,10,88,,28
딸기,2021/02/25 7:00,20,12,86,,28
딸기,2021/02/25 8:00,101,13,84,,28
딸기,2021/02/25 9:00,193,14,83,,28
딸기,2021/02/25 10:00,253,16,77,,28
딸기,2021/02/25 11:00,293,19,74,,29
딸기,2021/02/25 12:00,288,20,73,,29
딸기,2021/02/25 13:00,288,22,72,,29
딸기,2021/02/25 14:00,282,22,73,,29
딸기,2021/02/25 15:00,138,19,77,,29
딸기,2021/02/25 16:00,75,16,81,,29
딸기,2021/02/25 17:00,28,14,86,,29
딸기,2021/02/25 18:00,2,13,88,,29
딸기,2021/02/25 19:00,0,11,88,,29
딸기,2021/02/25 20:00,0,10,89,,29
딸기,2021/02/25 21:00,0,10,89,,29
딸기,2021/02/25 22:00,0,10,89,,28
딸기,2021/02/25 23:00,0,10,89,,28
딸기,2021/02/26 0:00,0,10,89,,28
딸기,2021/02/26 1:00,0,9,89,,28
딸기,2021/02/26 2:00,0,9,89,,28
딸기,2021/02/26 3:00,0,9,89,,28
딸기,2021/02/26 4:00,0,8,89,,28
딸기,2021/02/26 5:00,0,8,89,,28
딸기,2021/02/26 6:00,0,9,87,,28
딸기,2021/02/26 7:00,24,11,85,,28
딸기,2021/02/26 8:00,139,14,77,,28
딸기,2021/02/26 9:00,304,21,64,,29
딸기,2021/02/26 10:00,422,28,50,,31
딸기,2021/02/26 11:00,228,33,43,,31
딸기,2021/02/26 12:00,650,35,36,,31
딸기,2021/02/26 13:00,637,35,32,,32
딸기,2021/02/26 14:00,580,35,30,,32
딸기,2021/02/26 15:00,453,33,35,,32
딸기,2021/02/26 16:00,229,26,58,,31
딸기,2021/02/26 17:00,78,20,74,,31
딸기,2021/02/26 18:00,4,15,78,,31
딸기,2021/02/26 19:00,0,13,86,,31
딸기,2021/02/26 20:00,0,11,87,,30
딸기,2021/02/26 21:00,0,11,87,,30
딸기,2021/02/26 22:00,0,10,88,,30
딸기,2021/02/26 23:00,0,10,88,,30
딸기,2021/02/27 0:00,0,11,88,,30
딸기,2021/02/27 1:00,0,11,88,,29
딸기,2021/02/27 2:00,0,11,88,,29
딸기,2021/02/27 3:00,0,10,88,,29
딸기,2021/02/27 4:00,0,10,88,,29
딸기,2021/02/27 5:00,0,10,88,,29
딸기,2021/02/27 6:00,0,10,88,,29
딸기,2021/02/27 7:00,28,12,85,,30
딸기,2021/02/27 8:00,139,15,78,,31
딸기,2021/02/27 9:00,310,22,65,,31
딸기,2021/02/27 10:00,461,28,51,,31
딸기,2021/02/27 11:00,43,32,45,,32
딸기,2021/02/27 12:00,0,33,36,,32
딸기,2021/02/27 13:00,0,34,31,,32
딸기,2021/02/27 14:00,0,33,36,,32
딸기,2021/02/27 15:00,36,32,43,,32
딸기,2021/02/27 16:00,272,27,61,,32
딸기,2021/02/27 17:00,78,20,73,,32
딸기,2021/02/27 18:00,6,14,80,,32
딸기,2021/02/27 19:00,0,13,88,,31
딸기,2021/02/27 20:00,0,11,88,,30
딸기,2021/02/27 21:00,0,10,88,,31
딸기,2021/02/27 22:00,0,10,89,,30
딸기,2021/02/27 23:00,0,10,90,,30
딸기,2021/02/28 0:00,0,10,90,,30
딸기,2021/02/28 1:00,0,10,90,,30
딸기,2021/02/28 2:00,0,10,89,,30
딸기,2021/02/28 3:00,0,10,89,,29
딸기,2021/02/28 4:00,0,9,89,,29
딸기,2021/02/28 5:00,0,9,89,,29
딸기,2021/02/28 6:00,0,10,89,,29
딸기,2021/02/28 7:00,30,11,87,,29
딸기,2021/02/28 8:00,150,15,79,,30
딸기,2021/02/28 9:00,238,18,72,,31
딸기,2021/02/28 10:00,291,20,72,,32
딸기,2021/02/28 11:00,367,23,69,,31
딸기,2021/02/28 12:00,552,30,54,,31
딸기,2021/02/28 13:00,490,33,42,,32
딸기,2021/02/28 14:00,176,23,63,,32
딸기,2021/02/28 15:00,182,20,76,,32
딸기,2021/02/28 16:00,127,22,75,,32
딸기,2021/02/28 17:00,53,17,82,,32
딸기,2021/02/28 18:00,2,15,85,,31
딸기,2021/02/28 19:00,0,14,89,,31
딸기,2021/02/28 20:00,0,13,90,,31
딸기,2021/02/28 21:00,0,13,90,,30
딸기,2021/02/28 22:00,0,13,90,,30
딸기,2021/02/28 23:00,0,13,91,,30
딸기,2021/03/01 0:00,0,13,91,,30
딸기,2021/03/01 1:00,0,12,91,,30
딸기,2021/03/01 2:00,0,12,91,,30
딸기,2021/03/01 3:00,0,12,91,,30
딸기,2021/03/01 4:00,0,11,91,,30
딸기,2021/03/01 5:00,0,11,91,,30
딸기,2021/03/01 6:00,0,11,91,,30
딸기,2021/03/01 7:00,7,12,91,,30
딸기,2021/03/01 8:00,28,13,90,,30
딸기,2021/03/01 9:00,82,14,88,,30
딸기,2021/03/01 10:00,96,16,84,,30
딸기,2021/03/01 11:00,48,15,87,,29
딸기,2021/03/01 12:00,57,14,90,,30
딸기,2021/03/01 13:00,69,13,90,,30
딸기,2021/03/01 14:00,47,14,90,,30
딸기,2021/03/01 15:00,22,14,90,,29
딸기,2021/03/01 16:00,16,13,89,,29
딸기,2021/03/01 17:00,7,12,89,,29
딸기,2021/03/01 18:00,0,10,90,,29
딸기,2021/03/01 19:00,0,10,91,,29
딸기,2021/03/01 20:00,0,10,91,,29
딸기,2021/03/01 21:00,0,10,91,,29
딸기,2021/03/01 22:00,0,10,91,,29
딸기,2021/03/01 23:00,0,10,91,,29
딸기,2021/03/02 0:00,0,10,91,,29
딸기,2021/03/02 1:00,0,10,91,,29
딸기,2021/03/02 2:00,0,10,91,,29
딸기,2021/03/02 3:00,0,10,91,,29
딸기,2021/03/02 4:00,0,10,91,,28
딸기,2021/03/02 5:00,0,10,91,,29
딸기,2021/03/02 6:00,0,10,91,,29
딸기,2021/03/02 7:00,19,11,90,,29
딸기,2021/03/02 8:00,95,12,87,,29
딸기,2021/03/02 9:00,251,16,81,,29
딸기,2021/03/02 10:00,285,18,72,,29
딸기,2021/03/02 11:00,398,25,62,,29
딸기,2021/03/02 12:00,297,23,69,,30
딸기,2021/03/02 13:00,262,20,73,,29
딸기,2021/03/02 14:00,272,21,70,,30
딸기,2021/03/02 15:00,483,28,59,,30
딸기,2021/03/02 16:00,246,24,64,,30
딸기,2021/03/02 17:00,105,16,75,,30
딸기,2021/03/02 18:00,9,12,84,,29
딸기,2021/03/02 19:00,0,10,89,,29
딸기,2021/03/02 20:00,0,10,89,,29
딸기,2021/03/02 21:00,0,10,89,,29
딸기,2021/03/02 22:00,0,10,89,,29
딸기,2021/03/02 23:00,0,9,89,,29
딸기,2021/03/03 0:00,0,9,89,,29
딸기,2021/03/03 1:00,0,8,90,,28
딸기,2021/03/03 2:00,0,8,90,,29
딸기,2021/03/03 3:00,0,8,90,,28
딸기,2021/03/03 4:00,0,8,90,,28
딸기,2021/03/03 5:00,0,8,90,,28
딸기,2021/03/03 6:00,0,9,90,,28
딸기,2021/03/03 7:00,36,10,87,,28
딸기,2021/03/03 8:00,157,14,80,,28
딸기,2021/03/03 9:00,335,19,67,,29
딸기,2021/03/03 10:00,492,28,53,,29
딸기,2021/03/03 11:00,443,30,48,,29
딸기,2021/03/03 12:00,0,31,46,,30
딸기,2021/03/03 13:00,0,34,42,,30
딸기,2021/03/03 14:00,0,32,47,,32
딸기,2021/03/03 15:00,64,30,57,,32
딸기,2021/03/03 16:00,233,26,65,,32
딸기,2021/03/03 17:00,80,19,75,,31
딸기,2021/03/03 18:00,8,13,84,,31
딸기,2021/03/03 19:00,0,11,87,,31
딸기,2021/03/03 20:00,0,10,89,,30
딸기,2021/03/03 21:00,0,10,89,,30
딸기,2021/03/03 22:00,0,11,89,,30
딸기,2021/03/03 23:00,0,10,89,,30
딸기,2021/03/04 0:00,0,10,89,,30
딸기,2021/03/04 1:00,0,10,89,,30
딸기,2021/03/04 2:00,0,10,90,,30
딸기,2021/03/04 3:00,0,10,90,,29
딸기,2021/03/04 4:00,0,10,90,,29
딸기,2021/03/04 5:00,0,10,90,,29
딸기,2021/03/04 6:00,0,10,90,,29
딸기,2021/03/04 7:00,28,11,89,,30
딸기,2021/03/04 8:00,137,13,86,,29
딸기,2021/03/04 9:00,230,16,80,,30
딸기,2021/03/04 10:00,305,20,75,,30
딸기,2021/03/04 11:00,343,24,71,,30
딸기,2021/03/04 12:00,320,24,71,,30
딸기,2021/03/04 13:00,344,26,68,,30
딸기,2021/03/04 14:00,235,23,72,,30
딸기,2021/03/04 15:00,195,21,75,,30
딸기,2021/03/04 16:00,134,21,77,,30
딸기,2021/03/04 17:00,101,18,79,,30
딸기,2021/03/04 18:00,5,14,84,,30
딸기,2021/03/04 19:00,0,11,88,,30
딸기,2021/03/04 20:00,0,11,89,,30
딸기,2021/03/04 21:00,0,10,90,,29
딸기,2021/03/04 22:00,0,10,90,,29
딸기,2021/03/04 23:00,0,10,90,,29
딸기,2021/03/05 0:00,0,10,90,,29
딸기,2021/03/05 1:00,0,9,90,,29
딸기,2021/03/05 2:00,0,9,90,,29
딸기,2021/03/05 3:00,0,9,90,,29
딸기,2021/03/05 4:00,0,9,90,,29
딸기,2021/03/05 5:00,0,8,90,,29
딸기,2021/03/05 6:00,0,9,89,,29
딸기,2021/03/05 7:00,40,11,87,,29
딸기,2021/03/05 8:00,181,15,78,,29
딸기,2021/03/05 9:00,347,23,64,,29
딸기,2021/03/05 10:00,511,31,49,,29
딸기,2021/03/05 11:00,610,34,39,,30
딸기,2021/03/05 12:00,108,34,34,,31
딸기,2021/03/05 13:00,0,35,32,,30
딸기,2021/03/05 14:00,0,33,31,,31
딸기,2021/03/05 15:00,0,32,37,,31
딸기,2021/03/05 16:00,262,28,54,,31
딸기,2021/03/05 17:00,114,22,70,,31
딸기,2021/03/05 18:00,9,15,77,,30
딸기,2021/03/05 19:00,0,12,86,,30
딸기,2021/03/05 20:00,0,11,87,,30
딸기,2021/03/05 21:00,0,10,87,,30
딸기,2021/03/05 22:00,0,10,88,,29
딸기,2021/03/05 23:00,0,10,89,,29
딸기,2021/03/06 0:00,0,10,90,,29
딸기,2021/03/06 1:00,0,11,90,,29
딸기,2021/03/06 2:00,0,11,90,,29
딸기,2021/03/06 3:00,0,11,90,,29
딸기,2021/03/06 4:00,0,11,90,,29
딸기,2021/03/06 5:00,0,10,90,,29
딸기,2021/03/06 6:00,0,10,90,,28
딸기,2021/03/06 7:00,10,11,90,,29
딸기,2021/03/06 8:00,67,12,87,,29
딸기,2021/03/06 9:00,115,15,85,,29
딸기,2021/03/06 10:00,240,17,79,,29
딸기,2021/03/06 11:00,553,29,58,,31
딸기,2021/03/06 12:00,248,32,43,,31
딸기,2021/03/06 13:00,205,25,61,,31
딸기,2021/03/06 14:00,250,23,71,,31
딸기,2021/03/06 15:00,276,24,69,,31
딸기,2021/03/06 16:00,187,22,72,,31
딸기,2021/03/06 17:00,99,18,76,,30
딸기,2021/03/06 18:00,12,13,84,,31
딸기,2021/03/06 19:00,0,11,88,,30
딸기,2021/03/06 20:00,0,10,88,,30
딸기,2021/03/06 21:00,0,10,89,,30
딸기,2021/03/06 22:00,0,9,90,,30
딸기,2021/03/06 23:00,0,10,90,,30
딸기,2021/03/07 0:00,0,10,89,,30
딸기,2021/03/07 1:00,0,11,90,,29
딸기,2021/03/07 2:00,0,10,90,,30
딸기,2021/03/07 3:00,0,10,90,,29
딸기,2021/03/07 4:00,0,10,90,,29
딸기,2021/03/07 5:00,0,10,90,,29
딸기,2021/03/07 6:00,0,10,90,,29
딸기,2021/03/07 7:00,32,11,90,,29
딸기,2021/03/07 8:00,133,13,87,,30
딸기,2021/03/07 9:00,223,17,80,,29
딸기,2021/03/07 10:00,287,20,74,,30
딸기,2021/03/07 11:00,418,25,69,,30
딸기,2021/03/07 12:00,388,28,63,,30
딸기,2021/03/07 13:00,342,27,67,,30
딸기,2021/03/07 14:00,459,31,55,,32
딸기,2021/03/07 15:00,382,28,58,,33
딸기,2021/03/07 16:00,239,26,63,,32
딸기,2021/03/07 17:00,110,20,74,,32
딸기,2021/03/07 18:00,13,14,81,,31
딸기,2021/03/07 19:00,0,12,88,,31
딸기,2021/03/07 20:00,0,11,88,,31
딸기,2021/03/07 21:00,0,11,88,,31
딸기,2021/03/07 22:00,0,10,89,,31
딸기,2021/03/07 23:00,0,9,89,,30
딸기,2021/03/08 0:00,0,10,89,,30
딸기,2021/03/08 1:00,0,10,89,,30
딸기,2021/03/08 2:00,0,10,89,,30
딸기,2021/03/08 3:00,0,9,89,,30
딸기,2021/03/08 4:00,0,9,89,,30
딸기,2021/03/08 5:00,0,9,89,,30
딸기,2021/03/08 6:00,0,9,88,,30
딸기,2021/03/08 7:00,29,11,86,,30
딸기,2021/03/08 8:00,102,12,85,,30
딸기,2021/03/08 9:00,172,14,85,,30
딸기,2021/03/08 10:00,414,20,74,,30
딸기,2021/03/08 11:00,622,32,50,,31
딸기,2021/03/08 12:00,453,35,39,,31
딸기,2021/03/08 13:00,0,35,34,,31
딸기,2021/03/08 14:00,0,35,33,,32
딸기,2021/03/08 15:00,0,32,39,,32
딸기,2021/03/08 16:00,158,28,56,,31
딸기,2021/03/08 17:00,120,22,70,,31
딸기,2021/03/08 18:00,10,15,78,,31
딸기,2021/03/08 19:00,0,12,86,,31
딸기,2021/03/08 20:00,0,10,87,,30
딸기,2021/03/08 21:00,0,9,88,,30
딸기,2021/03/08 22:00,0,9,89,,30
딸기,2021/03/08 23:00,0,11,89,,30
딸기,2021/03/09 0:00,0,10,88,,30
딸기,2021/03/09 1:00,0,10,88,,30
딸기,2021/03/09 2:00,0,10,88,,30
딸기,2021/03/09 3:00,0,9,88,,30
딸기,2021/03/09 4:00,0,9,88,,29
딸기,2021/03/09 5:00,0,9,89,,29
딸기,2021/03/09 6:00,0,10,88,,29
딸기,2021/03/09 7:00,39,11,86,,29
딸기,2021/03/09 8:00,193,14,80,,29
딸기,2021/03/09 9:00,271,19,71,,29
딸기,2021/03/09 10:00,416,24,65,,30
딸기,2021/03/09 11:00,596,32,47,,30
딸기,2021/03/09 12:00,532,33,41,,31
딸기,2021/03/09 13:00,0,34,35,,30
딸기,2021/03/09 14:00,0,33,38,,31
딸기,2021/03/09 15:00,0,30,51,,31
딸기,2021/03/09 16:00,216,26,63,,31
딸기,2021/03/09 17:00,121,21,71,,31
딸기,2021/03/09 18:00,12,14,79,,31
딸기,2021/03/09 19:00,0,12,87,,31
딸기,2021/03/09 20:00,0,11,87,,30
딸기,2021/03/09 21:00,0,10,88,,30
딸기,2021/03/09 22:00,0,9,89,,30
딸기,2021/03/09 23:00,0,10,89,,30
딸기,2021/03/10 0:00,0,10,89,,30
딸기,2021/03/10 1:00,0,10,88,,29
딸기,2021/03/10 2:00,0,10,89,,29
딸기,2021/03/10 3:00,0,9,89,,29
딸기,2021/03/10 4:00,0,9,89,,29
딸기,2021/03/10 5:00,0,9,89,,29
딸기,2021/03/10 6:00,1,9,88,,29
딸기,2021/03/10 7:00,52,10,84,,29
딸기,2021/03/10 8:00,195,14,77,,29
딸기,2021/03/10 9:00,364,22,65,,29
딸기,2021/03/10 10:00,529,30,49,,30
딸기,2021/03/10 11:00,635,34,39,,30
딸기,2021/03/10 12:00,696,33,30,,30
딸기,2021/03/10 13:00,0,32,26,,31
딸기,2021/03/10 14:00,0,32,27,,31
딸기,2021/03/10 15:00,0,32,28,,32
딸기,2021/03/10 16:00,164,29,43,,31
딸기,2021/03/10 17:00,135,24,67,,31
딸기,2021/03/10 18:00,14,17,78,,31
딸기,2021/03/10 19:00,0,13,86,,30
딸기,2021/03/10 20:00,0,12,91,,30
딸기,2021/03/10 21:00,0,11,92,,29
딸기,2021/03/10 22:00,0,10,94,,29
딸기,2021/03/10 23:00,0,10,94,,29
딸기,2021/03/11 0:00,0,10,94,,29
딸기,2021/03/11 1:00,0,10,93,,29
딸기,2021/03/11 2:00,0,10,93,,29
딸기,2021/03/11 3:00,0,10,93,,29
딸기,2021/03/11 4:00,0,10,92,,29
딸기,2021/03/11 5:00,0,10,92,,29
딸기,2021/03/11 6:00,1,10,92,,28
딸기,2021/03/11 7:00,62,11,90,,28
딸기,2021/03/11 8:00,166,14,86,,28
딸기,2021/03/11 9:00,339,20,78,,28
딸기,2021/03/11 10:00,528,29,63,,29
딸기,2021/03/11 11:00,613,31,48,,30
딸기,2021/03/11 12:00,667,31,34,,30
딸기,2021/03/11 13:00,158,30,29,,30
딸기,2021/03/11 14:00,0,24,34,,30
딸기,2021/03/11 15:00,148,24,30,,30
딸기,2021/03/11 16:00,240,23,43,,30
딸기,2021/03/11 17:00,76,19,73,,30
딸기,2021/03/11 18:00,10,15,76,,30
딸기,2021/03/11 19:00,0,14,87,,29
딸기,2021/03/11 20:00,0,13,90,,29
딸기,2021/03/11 21:00,0,13,91,,29
딸기,2021/03/11 22:00,0,12,91,,29
딸기,2021/03/11 23:00,0,12,91,,29
딸기,2021/03/12 0:00,0,12,91,,29
딸기,2021/03/12 1:00,0,12,92,,28
딸기,2021/03/12 2:00,0,12,92,,29
딸기,2021/03/12 3:00,0,12,92,,28
딸기,2021/03/12 4:00,0,11,92,,28
딸기,2021/03/12 5:00,0,11,92,,28
딸기,2021/03/12 6:00,0,11,92,,28
딸기,2021/03/12 7:00,12,12,92,,28
딸기,2021/03/12 8:00,40,12,91,,28
딸기,2021/03/12 9:00,83,14,90,,28
딸기,2021/03/12 10:00,158,16,87,,28
딸기,2021/03/12 11:00,178,18,81,,28
딸기,2021/03/12 12:00,149,17,79,,28
딸기,2021/03/12 13:00,200,18,78,,28
딸기,2021/03/12 14:00,166,18,77,,28
딸기,2021/03/12 15:00,181,18,77,,29
딸기,2021/03/12 16:00,175,19,75,,28
